index,model,prompt_id,mean,std,min,max,count
0,gpt,p01,0.32065483182668686,0.011416743402965541,0.30932846665382385,0.3348787724971771,4
1,gpt,p02,0.31967785954475403,0.019917011281826574,0.30239593982696533,0.3449399471282959,4
2,gpt,p03,0.3063729628920555,0.006312119587159265,0.2997085750102997,0.31487181782722473,4
3,gpt,p04,0.27736805379390717,0.009852889034453235,0.2673313021659851,0.2908507287502289,4
4,gpt,p05,0.29042816162109375,0.010191962346113645,0.28043267130851746,0.3032902479171753,4
5,gpt,p06,0.3220585212111473,0.01224420708201833,0.3059123456478119,0.3353135883808136,4
6,gpt,p07,0.33801139146089554,0.015583060200495364,0.3188878297805786,0.3547796607017517,4
7,gpt,p08,0.3199787959456444,0.02058676373339556,0.2993575930595398,0.33904874324798584,4
8,gpt,p09,0.33655650168657303,0.00560082214705736,0.3288056254386902,0.34149932861328125,4
9,gpt,p10,0.29893381148576736,0.02302562390774747,0.2804953157901764,0.3312962055206299,4
10,gpt,p11,0.33969612419605255,0.023869499654939397,0.324452668428421,0.37531253695487976,4
11,gpt,p12,0.3204199746251106,0.015750630034583456,0.2979811728000641,0.33441147208213806,4
12,gpt,p13,0.2911324054002762,0.024989619514911222,0.2693135440349579,0.3264232873916626,4
13,gpt,p14,0.3003407493233681,0.01530035842599235,0.2860977351665497,0.32184094190597534,4
14,gpt,p15,0.31300589442253113,0.00909166962463768,0.30348092317581177,0.3240608870983124,4
15,jimeng,p01,0.33125612139701843,0.02317131836954455,0.3121657371520996,0.364961177110672,4
16,jimeng,p02,0.33362365514039993,0.014514840013320181,0.31398624181747437,0.34882470965385437,4
17,jimeng,p03,0.31123191863298416,0.014598729001681424,0.2907102108001709,0.3237811326980591,4
18,jimeng,p04,0.30210786312818527,0.0252761352226102,0.265820175409317,0.3238620162010193,4
19,jimeng,p05,0.2883063033223152,0.029788000597250085,0.2657410800457001,0.33164775371551514,4
20,jimeng,p06,0.319914348423481,0.019702574089786283,0.30232346057891846,0.33787351846694946,4
21,jimeng,p07,0.32244696468114853,0.02268552922481563,0.2939893305301666,0.34667524695396423,4
22,jimeng,p08,0.3400995805859566,0.006783643787888595,0.33160656690597534,0.3458523750305176,4
23,jimeng,p09,0.31425709277391434,0.010143453762327755,0.30146855115890503,0.3255891799926758,4
24,jimeng,p10,0.3106459453701973,0.02819963952660084,0.27040916681289673,0.33555665612220764,4
25,jimeng,p11,0.31434185057878494,0.03727146548042068,0.2591603398323059,0.3398303687572479,4
26,jimeng,p12,0.3058363348245621,0.00858274225995386,0.2940043807029724,0.3126116096973419,4
27,jimeng,p13,0.3318701758980751,0.009062467551315071,0.31868401169776917,0.3391105830669403,4
28,jimeng,p14,0.30171824991703033,0.012644684769257489,0.2828589379787445,0.30943211913108826,4
29,jimeng,p15,0.30754686146974564,0.02890066690557928,0.2781387269496918,0.3393034338951111,4
