model,prompt_id,image_1,image_2,variant_1,variant_2,lpips_score
gpt,p01,p01_A.png,p01_B.png,A,B,0.45820140838623047
gpt,p01,p01_A.png,p01_C.png,A,C,0.4992339611053467
gpt,p01,p01_A.png,p01_D.png,A,D,0.648207426071167
gpt,p01,p01_B.png,p01_C.png,B,C,0.20405273139476776
gpt,p01,p01_B.png,p01_D.png,B,D,0.6148353219032288
gpt,p01,p01_C.png,p01_D.png,C,D,0.639985203742981
gpt,p02,p02_A.png,p02_B.png,A,B,0.43316173553466797
gpt,p02,p02_A.png,p02_C.png,A,C,0.584875762462616
gpt,p02,p02_A.png,p02_D.png,A,D,0.585277795791626
gpt,p02,p02_B.png,p02_C.png,B,C,0.5887399315834045
gpt,p02,p02_B.png,p02_D.png,B,D,0.4871087372303009
gpt,p02,p02_C.png,p02_D.png,C,D,0.6807809472084045
gpt,p03,p03_A.png,p03_B.png,A,B,0.591084897518158
gpt,p03,p03_A.png,p03_C.png,A,C,0.6589011549949646
gpt,p03,p03_A.png,p03_D.png,A,D,0.6469718217849731
gpt,p03,p03_B.png,p03_C.png,B,C,0.4064781963825226
gpt,p03,p03_B.png,p03_D.png,B,D,0.40456512570381165
gpt,p03,p03_C.png,p03_D.png,C,D,0.49661028385162354
gpt,p04,p04_A.png,p04_B.png,A,B,0.4409118592739105
gpt,p04,p04_A.png,p04_C.png,A,C,0.47377538681030273
gpt,p04,p04_A.png,p04_D.png,A,D,0.48474282026290894
gpt,p04,p04_B.png,p04_C.png,B,C,0.09253457933664322
gpt,p04,p04_B.png,p04_D.png,B,D,0.3527199327945709
gpt,p04,p04_C.png,p04_D.png,C,D,0.38166749477386475
gpt,p05,p05_A.png,p05_B.png,A,B,0.18302270770072937
gpt,p05,p05_A.png,p05_C.png,A,C,0.3821101784706116
gpt,p05,p05_A.png,p05_D.png,A,D,0.49876922369003296
gpt,p05,p05_B.png,p05_C.png,B,C,0.32069623470306396
gpt,p05,p05_B.png,p05_D.png,B,D,0.497178316116333
gpt,p05,p05_C.png,p05_D.png,C,D,0.5044784545898438
gpt,p06,p06_A.png,p06_B.png,A,B,0.5017075538635254
gpt,p06,p06_A.png,p06_C.png,A,C,0.5257282853126526
gpt,p06,p06_A.png,p06_D.png,A,D,0.5827233791351318
gpt,p06,p06_B.png,p06_C.png,B,C,0.3925876319408417
gpt,p06,p06_B.png,p06_D.png,B,D,0.5267887711524963
gpt,p06,p06_C.png,p06_D.png,C,D,0.5396279692649841
gpt,p07,p07_A.png,p07_B.png,A,B,0.3431317210197449
gpt,p07,p07_A.png,p07_C.png,A,C,0.5096422433853149
gpt,p07,p07_A.png,p07_D.png,A,D,0.6081169843673706
gpt,p07,p07_B.png,p07_C.png,B,C,0.5114980340003967
gpt,p07,p07_B.png,p07_D.png,B,D,0.6233081221580505
gpt,p07,p07_C.png,p07_D.png,C,D,0.5534099340438843
gpt,p08,p08_A.png,p08_B.png,A,B,0.4926595091819763
gpt,p08,p08_A.png,p08_C.png,A,C,0.5211160182952881
gpt,p08,p08_A.png,p08_D.png,A,D,0.5762574076652527
gpt,p08,p08_B.png,p08_C.png,B,C,0.26995158195495605
gpt,p08,p08_B.png,p08_D.png,B,D,0.4414704144001007
gpt,p08,p08_C.png,p08_D.png,C,D,0.4316708445549011
gpt,p09,p09_A.png,p09_B.png,A,B,0.5667448043823242
gpt,p09,p09_A.png,p09_C.png,A,C,0.6024172306060791
gpt,p09,p09_A.png,p09_D.png,A,D,0.6863066554069519
gpt,p09,p09_B.png,p09_C.png,B,C,0.5782663226127625
gpt,p09,p09_B.png,p09_D.png,B,D,0.5733693838119507
gpt,p09,p09_C.png,p09_D.png,C,D,0.6281909942626953
gpt,p10,p10_A.png,p10_B.png,A,B,0.5726866722106934
gpt,p10,p10_A.png,p10_C.png,A,C,0.5858819484710693
gpt,p10,p10_A.png,p10_D.png,A,D,0.6622071862220764
gpt,p10,p10_B.png,p10_C.png,B,C,0.5602620244026184
gpt,p10,p10_B.png,p10_D.png,B,D,0.6249332427978516
gpt,p10,p10_C.png,p10_D.png,C,D,0.7227447628974915
gpt,p11,p11_A.png,p11_B.png,A,B,0.5529375672340393
gpt,p11,p11_A.png,p11_C.png,A,C,0.5457330942153931
gpt,p11,p11_A.png,p11_D.png,A,D,0.6558064222335815
gpt,p11,p11_B.png,p11_C.png,B,C,0.3573088049888611
gpt,p11,p11_B.png,p11_D.png,B,D,0.572508692741394
gpt,p11,p11_C.png,p11_D.png,C,D,0.5172372460365295
gpt,p12,p12_A.png,p12_B.png,A,B,0.49289312958717346
gpt,p12,p12_A.png,p12_C.png,A,C,0.48964637517929077
gpt,p12,p12_A.png,p12_D.png,A,D,0.6059051752090454
gpt,p12,p12_B.png,p12_C.png,B,C,0.3431512415409088
gpt,p12,p12_B.png,p12_D.png,B,D,0.594498872756958
gpt,p12,p12_C.png,p12_D.png,C,D,0.4667828679084778
gpt,p13,p13_A.png,p13_B.png,A,B,0.522113561630249
gpt,p13,p13_A.png,p13_C.png,A,C,0.5432601571083069
gpt,p13,p13_A.png,p13_D.png,A,D,0.6275898814201355
gpt,p13,p13_B.png,p13_C.png,B,C,0.48567354679107666
gpt,p13,p13_B.png,p13_D.png,B,D,0.5640836358070374
gpt,p13,p13_C.png,p13_D.png,C,D,0.5768845677375793
gpt,p14,p14_A.png,p14_B.png,A,B,0.32081347703933716
gpt,p14,p14_A.png,p14_C.png,A,C,0.41259199380874634
gpt,p14,p14_A.png,p14_D.png,A,D,0.6441333889961243
gpt,p14,p14_B.png,p14_C.png,B,C,0.37313270568847656
gpt,p14,p14_B.png,p14_D.png,B,D,0.6657024025917053
gpt,p14,p14_C.png,p14_D.png,C,D,0.6531069278717041
gpt,p15,p15_A.png,p15_B.png,A,B,0.21910125017166138
gpt,p15,p15_A.png,p15_C.png,A,C,0.37056058645248413
gpt,p15,p15_A.png,p15_D.png,A,D,0.46047309041023254
gpt,p15,p15_B.png,p15_C.png,B,C,0.2961444556713104
gpt,p15,p15_B.png,p15_D.png,B,D,0.41130998730659485
gpt,p15,p15_C.png,p15_D.png,C,D,0.3839409351348877
jimeng,p01,p01_A.png,p01_B.png,A,B,0.5655239224433899
jimeng,p01,p01_A.png,p01_C.png,A,C,0.6335892081260681
jimeng,p01,p01_A.png,p01_D.png,A,D,0.6325912475585938
jimeng,p01,p01_B.png,p01_C.png,B,C,0.6531519293785095
jimeng,p01,p01_B.png,p01_D.png,B,D,0.6029833555221558
jimeng,p01,p01_C.png,p01_D.png,C,D,0.6587674617767334
jimeng,p02,p02_A.png,p02_B.png,A,B,0.5023745894432068
jimeng,p02,p02_A.png,p02_C.png,A,C,0.5671175122261047
jimeng,p02,p02_A.png,p02_D.png,A,D,0.6035103797912598
jimeng,p02,p02_B.png,p02_C.png,B,C,0.4928957521915436
jimeng,p02,p02_B.png,p02_D.png,B,D,0.5809939503669739
jimeng,p02,p02_C.png,p02_D.png,C,D,0.6524105668067932
jimeng,p03,p03_A.png,p03_B.png,A,B,0.7146639823913574
jimeng,p03,p03_A.png,p03_C.png,A,C,0.7586158514022827
jimeng,p03,p03_A.png,p03_D.png,A,D,0.802759051322937
jimeng,p03,p03_B.png,p03_C.png,B,C,0.44139862060546875
jimeng,p03,p03_B.png,p03_D.png,B,D,0.745543360710144
jimeng,p03,p03_C.png,p03_D.png,C,D,0.7085984349250793
jimeng,p04,p04_A.png,p04_B.png,A,B,0.48520177602767944
jimeng,p04,p04_A.png,p04_C.png,A,C,0.5362817049026489
jimeng,p04,p04_A.png,p04_D.png,A,D,0.5413821935653687
