index,model,prompt_id,mean,std,min,max,count
0,gpt,p01,0.5107526754339536,0.16934416096439528,0.20405273139476776,0.648207426071167,6
1,gpt,p02,0.5599908183018366,0.08726152922001215,0.43316173553466797,0.6807809472084045,6
2,gpt,p03,0.5341019133726755,0.11492148815492953,0.40456512570381165,0.6589011549949646,6
3,gpt,p04,0.37105867887536687,0.14586212908787946,0.09253457933664322,0.48474282026290894,6
4,gpt,p05,0.3977091858784358,0.12943842045322587,0.18302270770072937,0.5044784545898438,6
5,gpt,p06,0.5115272651116053,0.06408772399632383,0.3925876319408417,0.5827233791351318,6
6,gpt,p07,0.5248511731624603,0.1008703584822723,0.3431317210197449,0.6233081221580505,6
7,gpt,p08,0.4555209626754125,0.10532000114826472,0.26995158195495605,0.5762574076652527,6
8,gpt,p09,0.6058825651804606,0.04545159398115762,0.5667448043823242,0.6863066554069519,6
9,gpt,p10,0.6214526395003,0.06216241137881453,0.5602620244026184,0.7227447628974915,6
10,gpt,p11,0.5335886379082998,0.09830134675464923,0.3573088049888611,0.6558064222335815,6
11,gpt,p12,0.4988129436969757,0.09591673943679667,0.3431512415409088,0.6059051752090454,6
12,gpt,p13,0.5532675584157308,0.048658459409162545,0.48567354679107666,0.6275898814201355,6
13,gpt,p14,0.5115801493326823,0.159193047701254,0.32081347703933716,0.6657024025917053,6
14,gpt,p15,0.3569217175245285,0.08635436799843793,0.21910125017166138,0.46047309041023254,6
15,jimeng,p01,0.6244345208009084,0.034883784122542,0.5655239224433899,0.6587674617767334,6
16,jimeng,p02,0.5665504584709803,0.060811985526094535,0.4928957521915436,0.6524105668067932,6
17,jimeng,p03,0.6952632168928782,0.1289173801870364,0.44139862060546875,0.802759051322937,6
18,jimeng,p04,0.5037129024664561,0.02805320008254259,0.47629082202911377,0.5413821935653687,6
19,jimeng,p05,0.48399404684702557,0.07941944076223847,0.32846853137016296,0.5449334383010864,6
20,jimeng,p06,0.6352871656417847,0.030564606630832533,0.5984722375869751,0.670733630657196,6
21,jimeng,p07,0.5846665104230245,0.041773549287533684,0.5242219567298889,0.6319826245307922,6
22,jimeng,p08,0.5811435778935751,0.08092450138130325,0.4692072868347168,0.6780137419700623,6
23,jimeng,p09,0.5824478367964426,0.045783849880836044,0.5397458076477051,0.6644725799560547,6
24,jimeng,p10,0.7116686006387075,0.060044909103650845,0.6534324884414673,0.7802770733833313,6
25,jimeng,p11,0.5849727292855581,0.04747696022761669,0.5381230115890503,0.668394923210144,6
26,jimeng,p12,0.6331190367539724,0.054213094267070355,0.5608116388320923,0.7104436159133911,6
27,jimeng,p13,0.5583233088254929,0.07682640116630365,0.4512961208820343,0.6400790214538574,6
28,jimeng,p14,0.5587914834419886,0.07411727646724171,0.481069415807724,0.6588417887687683,6
29,jimeng,p15,0.7670803964138031,0.06579281303834701,0.6909174919128418,0.8533453941345215,6
